name_last,name_suffix,name_first,name_middle,race
knigge,,adolph,freiherr,"GreaterEuropean,WestEuropean,Germanic"
sutro,,adolph,,"GreaterEuropean,WestEuropean,Germanic"
,,adrabaecampi,,"GreaterEuropean,WestEuropean,Germanic"
geiges,,adrian,,"GreaterEuropean,WestEuropean,Germanic"
hates,,adrian,,"GreaterEuropean,WestEuropean,Germanic"
barlandus,,adrianus,,"GreaterEuropean,WestEuropean,Germanic"
coclico,,adrianus,petit,"GreaterEuropean,WestEuropean,Germanic"
valerius,,adrianus,,"GreaterEuropean,WestEuropean,Germanic"
voorting,,adrie,,"GreaterEuropean,WestEuropean,Germanic"
van houwelingen,,adri,,"GreaterEuropean,WestEuropean,Germanic"
,,aeblus,,"GreaterEuropean,WestEuropean,Germanic"
eudoxia,,aelia,,"GreaterEuropean,WestEuropean,Germanic"
van der heijden,,th.,,"GreaterEuropean,WestEuropean,Germanic"
,,agilaz,,"GreaterEuropean,WestEuropean,Germanic"
,,agilbert,,"GreaterEuropean,WestEuropean,Germanic"
,,agilolfings,,"GreaterEuropean,WestEuropean,Germanic"
bernelle,,agnes,,"GreaterEuropean,WestEuropean,Germanic"
miegel,,agnes,,"GreaterEuropean,WestEuropean,Germanic"
,,agnes of gandersheim,,"GreaterEuropean,WestEuropean,Germanic"
,,agobard,,"GreaterEuropean,WestEuropean,Germanic"
,,aichinger,,"GreaterEuropean,WestEuropean,Germanic"
pirinçci,,akif,,"GreaterEuropean,WestEuropean,Germanic"
,,alamanni,,"GreaterEuropean,WestEuropean,Germanic"
track,,alamo,race,"GreaterEuropean,WestEuropean,Germanic"
brahmst,,alan,,"GreaterEuropean,WestEuropean,Germanic"
cayetano,,alan,peter,"GreaterEuropean,WestEuropean,Germanic"
gerhardt,,alban,,"GreaterEuropean,WestEuropean,Germanic"
,,alberich,,"GreaterEuropean,WestEuropean,Germanic"
,,albert,,"GreaterEuropean,WestEuropean,Germanic"
benschop,,albert,,"GreaterEuropean,WestEuropean,Germanic"
boer,,albert,,"GreaterEuropean,WestEuropean,Germanic"
dietrich,,albert,,"GreaterEuropean,WestEuropean,Germanic"
ehrenstein,,albert,,"GreaterEuropean,WestEuropean,Germanic"
einstein,,albert,,"GreaterEuropean,WestEuropean,Germanic"
ellmenreich,,albert,,"GreaterEuropean,WestEuropean,Germanic"
kahn,,albert,,"GreaterEuropean,WestEuropean,Germanic"
lortzing,,albert,,"GreaterEuropean,WestEuropean,Germanic"
mangelsdorff,,albert,,"GreaterEuropean,WestEuropean,Germanic"
hauss,,alberto,ingo,"GreaterEuropean,WestEuropean,Germanic"
schatz,,albert,,"GreaterEuropean,WestEuropean,Germanic"
schwegler,,albert,,"GreaterEuropean,WestEuropean,Germanic"
stöckl,,albert,,"GreaterEuropean,WestEuropean,Germanic"
magnus,,albertus,,"GreaterEuropean,WestEuropean,Germanic"
verwey,,albert,,"GreaterEuropean,WestEuropean,Germanic"
wolff,,albert,,"GreaterEuropean,WestEuropean,Germanic"
,,albrecht,,"GreaterEuropean,WestEuropean,Germanic"
fölsing,,albrecht,,"GreaterEuropean,WestEuropean,Germanic"
mayer,,albrecht,,"GreaterEuropean,WestEuropean,Germanic"
von croy,,albrecht,prinz,"GreaterEuropean,WestEuropean,Germanic"
ritschl,,albrecht,,"GreaterEuropean,WestEuropean,Germanic"
von johansdorf,,albrecht,,"GreaterEuropean,WestEuropean,Germanic"
weber,,albrecht,,"GreaterEuropean,WestEuropean,Germanic"
,,alcis,,"GreaterEuropean,WestEuropean,Germanic"
,,aldegonde,,"GreaterEuropean,WestEuropean,Germanic"
korn,,alejandro,,"GreaterEuropean,WestEuropean,Germanic"
wiebe,,alejandro,,"GreaterEuropean,WestEuropean,Germanic"
orman,,alen,,"GreaterEuropean,WestEuropean,Germanic"
baljakin,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
hacke,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
klaws,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
krull,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
langer,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
ludwig,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
rüstow,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
straub,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
veljanov,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
von schlippenbach,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
zickler,,alexander,,"GreaterEuropean,WestEuropean,Germanic"
,,alexandra,,"GreaterEuropean,WestEuropean,Germanic"
waldeck,,alexandra,braun,"GreaterEuropean,WestEuropean,Germanic"
motschmann,,alexandra,,"GreaterEuropean,WestEuropean,Germanic"
prince,,alexandra,,"GreaterEuropean,WestEuropean,Germanic"
holzwarth,,alex,,"GreaterEuropean,WestEuropean,Germanic"
schandermani,,alexios,,"GreaterEuropean,WestEuropean,Germanic"
,,alexis,,"GreaterEuropean,WestEuropean,Germanic"
meinong,,alexius,,"GreaterEuropean,WestEuropean,Germanic"
munter,,alex,,"GreaterEuropean,WestEuropean,Germanic"
van halen,,alex,,"GreaterEuropean,WestEuropean,Germanic"
van warmerdam,,alex,,"GreaterEuropean,WestEuropean,Germanic"
von schwedler,,alex,,"GreaterEuropean,WestEuropean,Germanic"
wesselsky,,alexx,,"GreaterEuropean,WestEuropean,Germanic"
rosenberg,,alfons,,"GreaterEuropean,WestEuropean,Germanic"
,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
andersch,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
brehm,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
einstein,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
harth,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
hertz,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
kerr,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
kurella,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
moes,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
scherer,,alfredo,,"GreaterEuropean,WestEuropean,Germanic"
stroessner,,alfredo,,"GreaterEuropean,WestEuropean,Germanic"
allinson,,alfred,richard,"GreaterEuropean,WestEuropean,Germanic"
schnittke,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
sormann,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
stelzner,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
vierkandt,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
von gutschmid,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
wagenknecht,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
weber,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
woltmann,,alfred,,"GreaterEuropean,WestEuropean,Germanic"
b,,ali,,"GreaterEuropean,WestEuropean,Germanic"
schwarzer,,alice,,"GreaterEuropean,WestEuropean,Germanic"
pogostkina,,alina,,"GreaterEuropean,WestEuropean,Germanic"
,,alois,,"GreaterEuropean,WestEuropean,Germanic"
burgstaller,,alois,,"GreaterEuropean,WestEuropean,Germanic"
senefelder,,alois,,"GreaterEuropean,WestEuropean,Germanic"
sprenger,,alois,,"GreaterEuropean,WestEuropean,Germanic"
lorscheider,,aloísio,,"GreaterEuropean,WestEuropean,Germanic"
weber,,aloysia,,"GreaterEuropean,WestEuropean,Germanic"
,,alpaida,,"GreaterEuropean,WestEuropean,Germanic"
,,alphart,,"GreaterEuropean,WestEuropean,Germanic"
diepenbrock,,alphons,,"GreaterEuropean,WestEuropean,Germanic"
,,alruna,,"GreaterEuropean,WestEuropean,Germanic"
,,alsace,,"GreaterEuropean,WestEuropean,Germanic"
,,amalberga of temse,,"GreaterEuropean,WestEuropean,Germanic"
catharina,,amalia,,"GreaterEuropean,WestEuropean,Germanic"
müllner,,amandus,gottfried adolf,"GreaterEuropean,WestEuropean,Germanic"
,,amber,,"GreaterEuropean,WestEuropean,Germanic"
,,ambrose,,"GreaterEuropean,WestEuropean,Germanic"
hubrecht,,ambrosius,,"GreaterEuropean,WestEuropean,Germanic"
,,amish,,"GreaterEuropean,WestEuropean,Germanic"
,,amos,,"GreaterEuropean,WestEuropean,Germanic"
,,ampsivarii,,"GreaterEuropean,WestEuropean,Germanic"
michels,,ana,claudia,"GreaterEuropean,WestEuropean,Germanic"
hickmann,,ana,,"GreaterEuropean,WestEuropean,Germanic"
deris,,andi,,"GreaterEuropean,WestEuropean,Germanic"
borgman,,andré,,"GreaterEuropean,WestEuropean,Germanic"
kruis,,andrea,,"GreaterEuropean,WestEuropean,Germanic"
schenkel,,andrea,maria,"GreaterEuropean,WestEuropean,Germanic"
delfs,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
eschbach,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
von oefele,,andreas,felix,"GreaterEuropean,WestEuropean,Germanic"
frege,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
geremia,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
rudelbach,,andreas,gottlob,"GreaterEuropean,WestEuropean,Germanic"
gruschke,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
gryphius,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
hammerschmidt,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
hillgruber,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
kappes,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
karlstadt,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
klöden,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
klier,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
kneller,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
musculus,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
perger,,andreas,paolo,"GreaterEuropean,WestEuropean,Germanic"
romberg,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
scholl,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
schroeder,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
staier,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
werckmeister,,andreas,,"GreaterEuropean,WestEuropean,Germanic"
vasi,,andrea,,"GreaterEuropean,WestEuropean,Germanic"
haermeyer,,andre,,"GreaterEuropean,WestEuropean,Germanic"
holm,,andrej,,"GreaterEuropean,WestEuropean,Germanic"
ettingshausen,,andrew,,"GreaterEuropean,WestEuropean,Germanic"
osiander,,andrew,,"GreaterEuropean,WestEuropean,Germanic"
witer,,andrew,,"GreaterEuropean,WestEuropean,Germanic"
greipel,,andré,,"GreaterEuropean,WestEuropean,Germanic"
hazes,,andré,,"GreaterEuropean,WestEuropean,Germanic"
manuel,,andré,,"GreaterEuropean,WestEuropean,Germanic"
rieu,,andré,,"GreaterEuropean,WestEuropean,Germanic"
classen,,andy,,"GreaterEuropean,WestEuropean,Germanic"
,,and.ypsilon,,"GreaterEuropean,WestEuropean,Germanic"
brodtka,,angela,,"GreaterEuropean,WestEuropean,Germanic"
gossow,,angela,,"GreaterEuropean,WestEuropean,Germanic"
sommer-bodenburg,,angela,,"GreaterEuropean,WestEuropean,Germanic"
di marsciano,,angelina,,"GreaterEuropean,WestEuropean,Germanic"
,,angilbert,,"GreaterEuropean,WestEuropean,Germanic"
,,angles,,"GreaterEuropean,WestEuropean,Germanic"
,,angrivarii,,"GreaterEuropean,WestEuropean,Germanic"
doth,,anita,,"GreaterEuropean,WestEuropean,Germanic"
dittmer,,anja,,"GreaterEuropean,WestEuropean,Germanic"
bijns,,anna,,"GreaterEuropean,WestEuropean,Germanic"
karsch,,anna,,"GreaterEuropean,WestEuropean,Germanic"
alamannici,,annales,,"GreaterEuropean,WestEuropean,Germanic"
bertiniani,,annales,,"GreaterEuropean,WestEuropean,Germanic"
bosboom-toussaint,,anna,louisa geertruida,"GreaterEuropean,WestEuropean,Germanic"
nitschmann,,anna,,"GreaterEuropean,WestEuropean,Germanic"
rosmus,,anna,,"GreaterEuropean,WestEuropean,Germanic"
seghers,,anna,,"GreaterEuropean,WestEuropean,Germanic"
burton,,ann,,"GreaterEuropean,WestEuropean,Germanic"
de vries,,anne,,"GreaterEuropean,WestEuropean,Germanic"
freier,,anne,,"GreaterEuropean,WestEuropean,Germanic"
haigis,,anne,,"GreaterEuropean,WestEuropean,Germanic"
van giersbergen,,anneke,,"GreaterEuropean,WestEuropean,Germanic"
,,anneliese,,"GreaterEuropean,WestEuropean,Germanic"
van der pol,,anneliese,,"GreaterEuropean,WestEuropean,Germanic"
gabanyi,,anneli,ute,"GreaterEuropean,WestEuropean,Germanic"
schimmel,,annemarie,,"GreaterEuropean,WestEuropean,Germanic"
bylsma,,anner,,"GreaterEuropean,WestEuropean,Germanic"
ross,,anne,,"GreaterEuropean,WestEuropean,Germanic"
schwanewilms,,anne,,"GreaterEuropean,WestEuropean,Germanic"
louisan,,annett,,"GreaterEuropean,WestEuropean,Germanic"
,,ansbert of rouen,,"GreaterEuropean,WestEuropean,Germanic"
,,anscar of ivrea,,"GreaterEuropean,WestEuropean,Germanic"
,,ansegisel,,"GreaterEuropean,WestEuropean,Germanic"
beckermann,,ansgar,,"GreaterEuropean,WestEuropean,Germanic"
,,antenor of provence,,"GreaterEuropean,WestEuropean,Germanic"
van noordt,,anthoni,,"GreaterEuropean,WestEuropean,Germanic"
stokvis,,anthony,marinus hendrik johan,"GreaterEuropean,WestEuropean,Germanic"
michaelis,,anthony,r.,"GreaterEuropean,WestEuropean,Germanic"
rother,,anthony,,"GreaterEuropean,WestEuropean,Germanic"
ulrich,,anthony,,"GreaterEuropean,WestEuropean,Germanic"
prins,,anthony,winkler,"GreaterEuropean,WestEuropean,Germanic"
mazairac,,antoine,,"GreaterEuropean,WestEuropean,Germanic"
fils,,anton,,"GreaterEuropean,WestEuropean,Germanic"
springer,,anton,heinrich,"GreaterEuropean,WestEuropean,Germanic"
hekking,,anton,,"GreaterEuropean,WestEuropean,Germanic"
hampel,,anton,joseph,"GreaterEuropean,WestEuropean,Germanic"
praetorius,,anton,,"GreaterEuropean,WestEuropean,Germanic"
schweitzer,,anton,,"GreaterEuropean,WestEuropean,Germanic"
stamitz,,anton,,"GreaterEuropean,WestEuropean,Germanic"
coolen,,antoon,,"GreaterEuropean,WestEuropean,Germanic"
steinbacher,,arabella,,"GreaterEuropean,WestEuropean,Germanic"
bethke,,arap,,"GreaterEuropean,WestEuropean,Germanic"
,,arbeo of freising,,"GreaterEuropean,WestEuropean,Germanic"
,,arbogast,,"GreaterEuropean,WestEuropean,Germanic"
,,aredius,,"GreaterEuropean,WestEuropean,Germanic"
grimberg,,arenda,,"GreaterEuropean,WestEuropean,Germanic"
reimann,,aribert,,"GreaterEuropean,WestEuropean,Germanic"
van lent,,arie,,"GreaterEuropean,WestEuropean,Germanic"
van weesenbeek,,ariën,,"GreaterEuropean,WestEuropean,Germanic"
,,armalausi,,"GreaterEuropean,WestEuropean,Germanic"
,,arminius,,"GreaterEuropean,WestEuropean,Germanic"
wegner,,armin,t.,"GreaterEuropean,WestEuropean,Germanic"
zöggeler,,armin,,"GreaterEuropean,WestEuropean,Germanic"
,,arn,,"GreaterEuropean,WestEuropean,Germanic"
ehret,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
gehlen,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
heeren,,arnold,hermann ludwig,"GreaterEuropean,WestEuropean,Germanic"
keyserling,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
krug,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
ruge,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
stadler,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
van mill,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
von bruck,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
zweig,,arnold,,"GreaterEuropean,WestEuropean,Germanic"
schlick,,arnolt,,"GreaterEuropean,WestEuropean,Germanic"
schmidt,,arno,,"GreaterEuropean,WestEuropean,Germanic"
surminski,,arno,,"GreaterEuropean,WestEuropean,Germanic"
i,,arnulf,,"GreaterEuropean,WestEuropean,Germanic"
von arnim,,arnulf,,"GreaterEuropean,WestEuropean,Germanic"
zitelmann,,arnulf,,"GreaterEuropean,WestEuropean,Germanic"
strobel,,aron,,"GreaterEuropean,WestEuropean,Germanic"
,,artald,,"GreaterEuropean,WestEuropean,Germanic"
gounaki,,artemis,,"GreaterEuropean,WestEuropean,Germanic"
achleitner,,arthur,,"GreaterEuropean,WestEuropean,Germanic"
japin,,arthur,,"GreaterEuropean,WestEuropean,Germanic"
van den bruck,,arthur,moeller,"GreaterEuropean,WestEuropean,Germanic"
schopenhauer,,arthur,,"GreaterEuropean,WestEuropean,Germanic"
van schendel,,arthur,,"GreaterEuropean,WestEuropean,Germanic"
balder,,artur,,"GreaterEuropean,WestEuropean,Germanic"
dinter,,artur,,"GreaterEuropean,WestEuropean,Germanic"
fürst,,artur,,"GreaterEuropean,WestEuropean,Germanic"
kutscher,,artur,,"GreaterEuropean,WestEuropean,Germanic"
rosenblueth,,arturo,,"GreaterEuropean,WestEuropean,Germanic"
phleps,,artur,,"GreaterEuropean,WestEuropean,Germanic"
schnabel,,artur,,"GreaterEuropean,WestEuropean,Germanic"
yusupov,,artur,,"GreaterEuropean,WestEuropean,Germanic"
asserate,,asfa-wossen,,"GreaterEuropean,WestEuropean,Germanic"
,,assmann,,"GreaterEuropean,WestEuropean,Germanic"
van der veen,,astrid,,"GreaterEuropean,WestEuropean,Germanic"
gilberto,,astrud,,"GreaterEuropean,WestEuropean,Germanic"
,,atb,,"GreaterEuropean,WestEuropean,Germanic"
,,ateed,,"GreaterEuropean,WestEuropean,Germanic"
touch of class,,a,,"GreaterEuropean,WestEuropean,Germanic"
,,audoin,,"GreaterEuropean,WestEuropean,Germanic"
,,audomar,,"GreaterEuropean,WestEuropean,Germanic"
,,audovera,,"GreaterEuropean,WestEuropean,Germanic"
hepburn,,audrey,,"GreaterEuropean,WestEuropean,Germanic"
belmont,,august,,"GreaterEuropean,WestEuropean,Germanic"
bungert,,august,,"GreaterEuropean,WestEuropean,Germanic"
dorner,,august,,"GreaterEuropean,WestEuropean,Germanic"
anacker,,august,ferdinand,"GreaterEuropean,WestEuropean,Germanic"
bernhardi,,august,ferdinand,"GreaterEuropean,WestEuropean,Germanic"
kretzschmar,,august,ferdinand hermann,"GreaterEuropean,WestEuropean,Germanic"
gfrörer,,august,friedrich,"GreaterEuropean,WestEuropean,Germanic"
von platen,,august,graf,"GreaterEuropean,WestEuropean,Germanic"
francke,,august,hermann,"GreaterEuropean,WestEuropean,Germanic"
hadelich,,augustin,,"GreaterEuropean,WestEuropean,Germanic"
souchy,,augustin,,"GreaterEuropean,WestEuropean,Germanic"
jaeger,,august,,"GreaterEuropean,WestEuropean,Germanic"
bielenstein,,august,johann gottfried,"GreaterEuropean,WestEuropean,Germanic"
kavel,,august,,"GreaterEuropean,WestEuropean,Germanic"
kluckhohn,,august,,"GreaterEuropean,WestEuropean,Germanic"
klughardt,,august,,"GreaterEuropean,WestEuropean,Germanic"
kopisch,,august,,"GreaterEuropean,WestEuropean,Germanic"
follen,,august,ludwig,"GreaterEuropean,WestEuropean,Germanic"
von schlözer,,august,ludwig,"GreaterEuropean,WestEuropean,Germanic"
mau,,august,,"GreaterEuropean,WestEuropean,Germanic"
neander,,august,,"GreaterEuropean,WestEuropean,Germanic"
grünewald,,augusto,hamann rademaker,"GreaterEuropean,WestEuropean,Germanic"
pauly,,august,,"GreaterEuropean,WestEuropean,Germanic"
potthast,,august,,"GreaterEuropean,WestEuropean,Germanic"
rohling,,august,,"GreaterEuropean,WestEuropean,Germanic"
schmarsow,,august,,"GreaterEuropean,WestEuropean,Germanic"
schynse,,august,,"GreaterEuropean,WestEuropean,Germanic"
stramm,,august,,"GreaterEuropean,WestEuropean,Germanic"
von gödrich,,august,,"GreaterEuropean,WestEuropean,Germanic"
von othegraven,,august,,"GreaterEuropean,WestEuropean,Germanic"
schlegel,,august,wilhelm,"GreaterEuropean,WestEuropean,Germanic"
willemsen,,august,,"GreaterEuropean,WestEuropean,Germanic"
,,aurvandil,,"GreaterEuropean,WestEuropean,Germanic"
,,austregisilus,,"GreaterEuropean,WestEuropean,Germanic"
ambrose,,autpert,,"GreaterEuropean,WestEuropean,Germanic"
,,auxilius of naples,,"GreaterEuropean,WestEuropean,Germanic"
,,ava,,"GreaterEuropean,WestEuropean,Germanic"
,,avarpi,,"GreaterEuropean,WestEuropean,Germanic"
blumberg,,axel,,"GreaterEuropean,WestEuropean,Germanic"
schumacher,,axel,,"GreaterEuropean,WestEuropean,Germanic"
,,azad,,"GreaterEuropean,WestEuropean,Germanic"
da bass,,azzido,,"GreaterEuropean,WestEuropean,Germanic"
gatzert,,bailey,,"GreaterEuropean,WestEuropean,Germanic"
,,bajka,,"GreaterEuropean,WestEuropean,Germanic"
,,balderic,,"GreaterEuropean,WestEuropean,Germanic"
,,baldr,,"GreaterEuropean,WestEuropean,Germanic"
,,banochaemae,,"GreaterEuropean,WestEuropean,Germanic"
,,barbara,,"GreaterEuropean,WestEuropean,Germanic"
dennerlein,,barbara,,"GreaterEuropean,WestEuropean,Germanic"
honigmann,,barbara,,"GreaterEuropean,WestEuropean,Germanic"
morgenstern,,barbara,,"GreaterEuropean,WestEuropean,Germanic"
mohr,,barbel,,"GreaterEuropean,WestEuropean,Germanic"
von chofendorph,,,,"GreaterEuropean,WestEuropean,Germanic"
hay,,barry,,"GreaterEuropean,WestEuropean,Germanic"
otto,,barry,,"GreaterEuropean,WestEuropean,Germanic"
berman,,bart,,"GreaterEuropean,WestEuropean,Germanic"
,,barthezz,,"GreaterEuropean,WestEuropean,Germanic"
niebuhr,,barthold,georg,"GreaterEuropean,WestEuropean,Germanic"
brockes,,barthold,heinrich,"GreaterEuropean,WestEuropean,Germanic"
aich,,bartholomäus,,"GreaterEuropean,WestEuropean,Germanic"
spruyt,,bart,jan,"GreaterEuropean,WestEuropean,Germanic"
smits,,bart,,"GreaterEuropean,WestEuropean,Germanic"
van oort,,bart,,"GreaterEuropean,WestEuropean,Germanic"
veldkamp,,bart,,"GreaterEuropean,WestEuropean,Germanic"
voskamp,,bart,,"GreaterEuropean,WestEuropean,Germanic"
zoet,,bart,,"GreaterEuropean,WestEuropean,Germanic"
belder,,bas,,"GreaterEuropean,WestEuropean,Germanic"
giling,,bas,,"GreaterEuropean,WestEuropean,Germanic"
hammoudi,,basil,,"GreaterEuropean,WestEuropean,Germanic"
von ramdohr,,basilius,,"GreaterEuropean,WestEuropean,Germanic"
,,basina,,"GreaterEuropean,WestEuropean,Germanic"
,,batavians,,"GreaterEuropean,WestEuropean,Germanic"
,,béatrice of vermandois,,"GreaterEuropean,WestEuropean,Germanic"
,,battle of the boarn,,"GreaterEuropean,WestEuropean,Germanic"
,,baum,,"GreaterEuropean,WestEuropean,Germanic"
,,beatfreakz,,"GreaterEuropean,WestEuropean,Germanic"
,,becker,,"GreaterEuropean,WestEuropean,Germanic"
weber,,beda,,"GreaterEuropean,WestEuropean,Germanic"
birtles,,beeb,,"GreaterEuropean,WestEuropean,Germanic"
,,begga,,"GreaterEuropean,WestEuropean,Germanic"
b.,,bela,,"GreaterEuropean,WestEuropean,Germanic"
,,belgranodeutsch,,"GreaterEuropean,WestEuropean,Germanic"
,,belinda,,"GreaterEuropean,WestEuropean,Germanic"
,,ben,,"GreaterEuropean,WestEuropean,Germanic"
hilfenhaus,,ben,,"GreaterEuropean,WestEuropean,Germanic"
boltze,,benjamin,,"GreaterEuropean,WestEuropean,Germanic"
liebrand,,ben,,"GreaterEuropean,WestEuropean,Germanic"
bendorff,,benny,,"GreaterEuropean,WestEuropean,Germanic"
,,bera,,"GreaterEuropean,WestEuropean,Germanic"
i of italy,,berengar,,"GreaterEuropean,WestEuropean,Germanic"
,,berengar the wise,,"GreaterEuropean,WestEuropean,Germanic"
producer,,berman,brothers,"GreaterEuropean,WestEuropean,Germanic"
,,bernard,,"GreaterEuropean,WestEuropean,Germanic"
bolzano,,bernard,,"GreaterEuropean,WestEuropean,Germanic"
haitink,,bernard,,"GreaterEuropean,WestEuropean,Germanic"
heiden,,bernard,,"GreaterEuropean,WestEuropean,Germanic"
jungmann,,bernard,,"GreaterEuropean,WestEuropean,Germanic"
,,bernard of italy,,"GreaterEuropean,WestEuropean,Germanic"
,,bernard of septimania,,"GreaterEuropean,WestEuropean,Germanic"
plantapilosa,,bernard,,"GreaterEuropean,WestEuropean,Germanic"
van dieren,,bernard,,"GreaterEuropean,WestEuropean,Germanic"
zweers,,bernard,,"GreaterEuropean,WestEuropean,Germanic"
aldenhoff,,bernd,,"GreaterEuropean,WestEuropean,Germanic"
zimmermann,,bernd,alois,"GreaterEuropean,WestEuropean,Germanic"
begemann,,bernd,,"GreaterEuropean,WestEuropean,Germanic"
dittert,,bernd,,"GreaterEuropean,WestEuropean,Germanic"
friedmann,,bernd,,"GreaterEuropean,WestEuropean,Germanic"
jakubowski,,bernd,,"GreaterEuropean,WestEuropean,Germanic"
spier,,bernd,,"GreaterEuropean,WestEuropean,Germanic"
hergemöller,,bernd-ulrich,,"GreaterEuropean,WestEuropean,Germanic"
flies,,bernhard,,"GreaterEuropean,WestEuropean,Germanic"
horwitz,,bernhard,,"GreaterEuropean,WestEuropean,Germanic"
hilgers,,bernhard,josef,"GreaterEuropean,WestEuropean,Germanic"
